time,RA,DEC,AZ,D(east),I(down), H,X (north),Y (east),Z (down),F(total)
90.95,104.5187,-22.4844,-79.4465,7.92481670836,59.8649514753,22570.355726,22354.8051842,3111.85519813,38881.0706344,44957.2976421
90.97,104.6772,-22.4375,-78.3134,7.92481670836,59.8649514753,22570.355726,22354.8051842,3111.85519813,38881.0706344,44957.2976421
90.99,104.8369,-22.3901,-77.1963,7.9246983019,59.8650179509,22569.4869597,22353.9511453,3111.68922195,38879.6779375,44955.6570205
91.01,104.997,-22.3414,-76.0731,7.9246983019,59.8650179509,22569.4869597,22353.9511453,3111.68922195,38879.6779375,44955.6570205
91.03,105.1601,-22.2914,-74.9272,7.92457396505,59.8650219095,22568.6420091,22353.1210163,3111.52421912,38878.2285568,44953.9793327
91.05,105.3225,-22.2406,-73.7796,7.92458045183,59.8650851683,22568.6182723,22353.0971539,3111.52347726,38878.2865283,44954.0175524
91.07,105.4879,-22.1888,-72.6427,7.92458045183,59.8650851683,22568.6182723,22353.0971539,3111.52347726,38878.2865283,44954.0175524
91.09,105.6531,-22.1357,-71.5303,7.92446576627,59.8651539325,22567.7491313,22352.2425407,3111.3589081,38876.8967473,44952.3792646
91.11,105.8211,-22.0828,-70.4192,7.92446576627,59.8651539325,22567.7491313,22352.2425407,3111.3589081,38876.8967473,44952.3792646
91.13,105.9891,-22.0265,-69.3347,7.92434150549,59.8651578858,22566.9046914,22351.4129121,3111.19401246,38875.4482297,44950.7025798
91.15,106.1595,-21.971,-68.2278,7.92434799159,59.8652211443,22566.8809563,22351.3890515,3111.19327047,38875.5061965,44950.7407963
91.17,106.329,-21.9126,-67.1092,7.92434799159,59.8652211443,22566.8809563,22351.3890515,3111.19327047,38875.5061965,44950.7407963
91.19,106.5016,-21.8534,-65.9736,7.92423027053,59.8652883525,22566.0131428,22350.5359168,3111.02770712,38874.1162554,44949.1030367
91.21,106.6733,-21.7937,-64.8699,7.92423027053,59.8652883525,22566.0131428,22350.5359168,3111.02770712,38874.1162554,44949.1030367
91.23,106.8491,-21.7331,-63.7776,7.92410569313,59.8652924715,22565.1692582,22349.7068541,3110.86277165,38872.6689448,44947.4276744
91.25,107.024,-21.6719,-62.6956,7.92411180259,59.8653520625,22565.1469006,22349.6843783,3110.86207256,38872.7235468,44947.4636725
91.27,107.2018,-21.6093,-61.6281,7.92411180259,59.8653520625,22565.1469006,22349.6843783,3110.86207256,38872.7235468,44947.4636725
91.29,107.3798,-21.546,-60.5631,7.92399445486,59.8654220148,22564.278673,22348.830812,3110.69660478,38871.337165,44945.8287834
91.31,107.5604,-21.4822,-59.463,7.92399445486,59.8654220148,22564.278673,22348.830812,3110.69660478,38871.337165,44945.8287834
91.33,107.7414,-21.4185,-58.3635,7.92387037809,59.8654259563,22563.4354651,22348.0023913,3110.53196503,38869.8907346,44944.1545221
91.35,107.9251,-21.3536,-57.2873,7.92387686285,59.865489214,22563.4117333,22347.978534,3110.53122278,38869.948692,44944.1927323
91.37,108.1101,-21.2904,-56.1985,7.92387686285,59.865489214,22563.4117333,22347.978534,3110.53122278,38869.948692,44944.1927323
91.39,108.2961,-21.224,-55.1272,7.9237588218,59.8655556646,22562.5454377,22347.1269178,3110.36575795,38868.5601514,44942.5569463
91.41,108.4849,-21.1593,-54.0939,7.9237588218,59.8655556646,22562.5454377,22347.1269178,3110.36575795,38868.5601514,44942.5569463
91.43,108.6736,-21.0933,-53.0508,7.92363769755,59.8655583989,22561.7032731,22346.2993689,3110.20242067,38867.113624,44940.8831249
91.45,108.8659,-21.0272,-51.9652,7.92364455753,59.8656253234,22561.6781673,22346.2741304,3110.20163526,38867.1749363,44940.9235469
91.47,109.0573,-20.9602,-50.8893,7.92364455753,59.8656253234,22561.6781673,22346.2741304,3110.20163526,38867.1749363,44940.9235469
91.49,109.2523,-20.8931,-49.8155,7.92352709442,59.8656925136,22560.8121006,22345.4227084,3110.03643437,38865.7879302,44939.2892031
91.51,109.4467,-20.8238,-48.7553,7.92352709442,59.8656925136,22560.8121006,22345.4227084,3110.03643437,38865.7879302,44939.2892031
91.53,109.6439,-20.7559,-47.7094,7.92340320152,59.8656964432,22559.970124,22344.5954948,3109.87205025,38864.3435859,44937.6173641
91.55,109.8417,-20.6852,-46.6912,7.92340959098,59.8657587835,22559.9467394,22344.5719867,3109.8713185,38864.4006941,44937.6550144
91.57,110.0424,-20.616,-45.6456,7.92340959098,59.8657587835,22559.9467394,22344.5719867,3109.8713185,38864.4006941,44937.6550144
91.59,110.243,-20.5446,-44.6008,7.92329184236,59.8658261376,22559.08144,22343.7213388,3109.70611904,38863.0152507,44936.0224073
91.61,110.4466,-20.4728,-43.5434,7.92329184236,59.8658261376,22559.08144,22343.7213388,3109.70611904,38863.0152507,44936.0224073
91.63,110.65,-20.4007,-42.505,7.9231680414,59.8658300613,22558.2400788,22342.8947287,3109.54186272,38861.5719492,44934.3517792
91.65,110.8563,-20.3275,-41.4535,7.92317452415,59.8658933181,22558.216352,22342.8708766,3109.54112008,38861.6298925,44934.3899801
91.67,111.0632,-20.2536,-40.4181,7.92317452415,59.8658933181,22558.216352,22342.8708766,3109.54112008,38861.6298925,44934.3899801
91.69,111.2712,-20.1792,-39.3915,7.92305714959,59.8659595789,22557.3518633,22342.0210102,3109.37618524,38860.2441226,44932.7574977
91.71,111.4814,-20.103,-38.397,7.92305714959,59.8659595789,22557.3518633,22342.0210102,3109.37618524,38860.2441226,44932.7574977
