# Time,nT,Gauss
9.345000000000000284e+01, -5.556458696629492624e+04, -5.556458696629492655e-01
9.346999999999999886e+01, -5.538572808929550229e+04, -5.538572808929550506e-01
9.348999999999999488e+01, -5.520345063594765088e+04, -5.520345063594765955e-01
9.351000000000000512e+01, -5.502103914590962086e+04, -5.502103914590962264e-01
9.353000000000000114e+01, -5.483440682470674801e+04, -5.483440682470674954e-01
9.354999999999999716e+01, -5.464613798126814800e+04, -5.464613798126815025e-01
9.356999999999999318e+01, -5.445259654894529376e+04, -5.445259654894529788e-01
9.359000000000000341e+01, -5.425027566321143240e+04, -5.425027566321143357e-01
9.360999999999999943e+01, -5.405193304395925952e+04, -5.405193304395926601e-01
9.362999999999999545e+01, -5.385021569707737217e+04, -5.385021569707737488e-01
9.365000000000000568e+01, -5.364872853016073350e+04, -5.364872853016073861e-01
9.367000000000000171e+01, -5.344243491493597685e+04, -5.344243491493597675e-01
9.368999999999999773e+01, -5.323010342931849300e+04, -5.323010342931849825e-01
9.370999999999999375e+01, -5.301706391011994856e+04, -5.301706391011995478e-01
9.373000000000000398e+01, -5.280543244554575358e+04, -5.280543244554575244e-01
9.375000000000000000e+01, -5.259640221416902205e+04, -5.259640221416902461e-01
9.376999999999999602e+01, -5.237960083800539724e+04, -5.237960083800540234e-01
9.379000000000000625e+01, -5.215269807726862200e+04, -5.215269807726862217e-01
9.381000000000000227e+01, -5.192393517667728884e+04, -5.192393517667729386e-01
9.382999999999999829e+01, -5.169171653750794212e+04, -5.169171653750794793e-01
9.384999999999999432e+01, -5.146549028082954464e+04, -5.146549028082955113e-01
9.387000000000000455e+01, -5.124325210888883885e+04, -5.124325210888884818e-01
9.389000000000000057e+01, -5.101518638212935912e+04, -5.101518638212936274e-01
9.390999999999999659e+01, -5.077814298799911921e+04, -5.077814298799911974e-01
9.393000000000000682e+01, -5.053404984604673518e+04, -5.053404984604673578e-01
9.395000000000000284e+01, -5.029649005596730422e+04, -5.029649005596731337e-01
9.396999999999999886e+01, -5.006400245339808316e+04, -5.006400245339808208e-01
9.398999999999999488e+01, -4.982305157821610919e+04, -4.982305157821611541e-01
9.401000000000000512e+01, -4.958083766109499993e+04, -4.958083766109500634e-01
9.403000000000000114e+01, -4.932974180845556839e+04, -4.932974180845557388e-01
9.404999999999999716e+01, -4.907263509799785970e+04, -4.907263509799786316e-01
9.406999999999999318e+01, -4.881585822974881012e+04, -4.881585822974881528e-01
9.409000000000000341e+01, -4.856533183068851213e+04, -4.856533183068851844e-01
9.410999999999999943e+01, -4.831618622117680934e+04, -4.831618622117681561e-01
9.412999999999999545e+01, -4.805612618166314496e+04, -4.805612618166315020e-01
9.415000000000000568e+01, -4.779449905132880667e+04, -4.779449905132880927e-01
9.417000000000000171e+01, -4.752933165709130117e+04, -4.752933165709130603e-01
9.418999999999999773e+01, -4.726573447537044558e+04, -4.726573447537044670e-01
9.420999999999999375e+01, -4.700605150179268094e+04, -4.700605150179268388e-01
9.423000000000000398e+01, -4.673942279839355615e+04, -4.673942279839355951e-01
9.425000000000000000e+01, -4.646640403423745738e+04, -4.646640403423746291e-01
9.426999999999999602e+01, -4.618955859082240931e+04, -4.618955859082241044e-01
9.429000000000000625e+01, -4.590479010807519808e+04, -4.590479010807519966e-01
9.431000000000000227e+01, -4.562277713082802802e+04, -4.562277713082802943e-01
9.432999999999999829e+01, -4.534266414053236076e+04, -4.534266414053236272e-01
9.434999999999999432e+01, -4.506188512322909810e+04, -4.506188512322910067e-01
9.437000000000000455e+01, -4.477374615522444947e+04, -4.477374615522445311e-01
9.439000000000000057e+01, -4.448273892824885115e+04, -4.448273892824885500e-01
9.440999999999999659e+01, -4.418674578284630115e+04, -4.418674578284630394e-01
9.443000000000000682e+01, -4.389094681579940516e+04, -4.389094681579940871e-01
9.445000000000000284e+01, -4.360152826974417985e+04, -4.360152826974418305e-01
9.446999999999999886e+01, -4.330827535166993766e+04, -4.330827535166993925e-01
9.448999999999999488e+01, -4.301084328145833570e+04, -4.301084328145833857e-01
9.451000000000000512e+01, -4.270529412425426563e+04, -4.270529412425426719e-01
9.453000000000000114e+01, -4.239490000108360982e+04, -4.239490000108361301e-01
9.454999999999999716e+01, -4.208264556191136217e+04, -4.208264556191136374e-01
9.456999999999999318e+01, -4.177184625260788744e+04, -4.177184625260789153e-01
9.459000000000000341e+01, -4.145768525834799220e+04, -4.145768525834799823e-01
9.460999999999999943e+01, -4.114874490133864310e+04, -4.114874490133864637e-01
9.462999999999999545e+01, -4.083500568933658360e+04, -4.083500568933658426e-01
9.465000000000000568e+01, -4.051585937281054066e+04, -4.051585937281054206e-01
9.467000000000000171e+01, -4.019611514957404142e+04, -4.019611514957404652e-01
9.468999999999999773e+01, -3.987710072649730137e+04, -3.987710072649730542e-01
9.470999999999999375e+01, -3.956236489524333592e+04, -3.956236489524334043e-01
9.473000000000000398e+01, -3.924228369539592677e+04, -3.924228369539592975e-01
9.475000000000000000e+01, -3.891470539120330068e+04, -3.891470539120330252e-01
9.476999999999999602e+01, -3.858476030486871605e+04, -3.858476030486872044e-01
9.479000000000000625e+01, -3.825252916761038068e+04, -3.825252916761038291e-01
9.481000000000000227e+01, -3.792486489432364760e+04, -3.792486489432365104e-01
9.482999999999999829e+01, -3.760121683632270287e+04, -3.760121683632270395e-01
9.484999999999999432e+01, -3.728222186784331279e+04, -3.728222186784331815e-01
9.487000000000000455e+01, -3.695806932477156079e+04, -3.695806932477156415e-01
9.489000000000000057e+01, -3.662660021438456170e+04, -3.662660021438456370e-01
9.490999999999999659e+01, -3.629875961450613977e+04, -3.629875961450614308e-01
9.493000000000000682e+01, -3.597503793144139490e+04, -3.597503793144140039e-01
9.495000000000000284e+01, -3.565449089584391913e+04, -3.565449089584392106e-01
9.496999999999999886e+01, -3.532938958439115231e+04, -3.532938958439115762e-01
9.498999999999999488e+01, -3.499981888397593866e+04, -3.499981888397594165e-01
9.501000000000000512e+01, -3.466653159860979940e+04, -3.466653159860980105e-01
9.503000000000000114e+01, -3.433169078957900638e+04, -3.433169078957901132e-01
